ros_time,odom_x,odom_y,odom_z,gt_x,gt_y,gt_z,drift_dx,drift_dy,drift_dz,drift_dist,source
1747219396.890784706,-56.71363321514217,9.003864538057671,0.0,-56.54607258993191,8.83978426925855,0.0,-0.16756062521025683,0.16408026879912185,0.0,0.234518437931955,odom
1747219396.990806112,-56.730979678419324,8.989461682397316,0.0,-56.54607258993191,8.83978426925855,0.0,-0.18490708848741377,0.14967741313876637,0.0,0.2378948494120989,odom
1747219397.090850663,-56.747944646216915,8.975228643577934,0.0,-56.54607258993191,8.83978426925855,0.0,-0.20187205628500493,0.13544437431938405,0.0,0.24309978536293614,odom
1747219397.090850663,-56.747944646216915,8.975228643577934,0.0,-56.59748086352046,8.795365988750081,0.0,-0.15046378269645544,0.17986265482785235,0.0,0.23449930597988838,gt
1747219397.224213955,-56.790749095389174,8.938358091204083,0.0,-56.59748086352046,8.795365988750081,0.0,-0.19326823186871422,0.14299210245400218,0.0,0.24041495547048428,odom
1747219397.326068731,-56.80910237417087,8.922424416910811,0.0,-56.59748086352046,8.795365988750081,0.0,-0.21162151065041002,0.12705842816072987,0.0,0.24683498118507627,odom
1747219397.326068731,-56.80910237417087,8.922424416910811,0.0,-56.64946371836125,8.7477819910703,0.0,-0.15963865580962278,0.1746424258405117,0.0,0.23661039142895193,gt
1747219397.457465954,-56.83229947142444,8.902059220789347,0.0,-56.64946371836125,8.7477819910703,0.0,-0.18283575306319477,0.15427722971904778,0.0,0.23922871108621008,odom
1747219397.590830146,-56.85527917635426,8.88159599606957,0.0,-56.64946371836125,8.7477819910703,0.0,-0.20581545799301182,0.13381400499927132,0.0,0.24549173241235278,odom
1747219397.590830146,-56.85527917635426,8.88159599606957,0.0,-56.70440012965685,8.697632942012511,0.0,-0.15087904669741192,0.1839630540570596,0.0,0.2379220292245349,gt
1747219397.724131874,-56.88159963376635,8.860574372942663,0.0,-56.70440012965685,8.697632942012511,0.0,-0.17719950410950247,0.162941430930152,0.0,0.2407271778803114,odom
1747219397.857505977,-56.90398075502992,8.840494753148572,0.0,-56.70440012965685,8.697632942012511,0.0,-0.19958062537307342,0.14286181113606133,0.0,0.2454423009698669,odom
1747219397.857505977,-56.90398075502992,8.840494753148572,0.0,-56.7620492135286,8.645531483676411,0.0,-0.1419315415013216,0.19496326947216147,0.0,0.2411539734613884,gt
1747219398.024119911,-56.97892242096151,8.770918129875977,0.0,-56.7620492135286,8.645531483676411,0.0,-0.21687320743291139,0.12538664619956563,0.0,0.25051107589768096,odom
1747219398.024119911,-56.97892242096151,8.770918129875977,0.0,-56.821153210750765,8.589856398595003,0.0,-0.15776921021074486,0.18106173128097325,0.0,0.24015510451578073,gt
1747219398.124153297,-56.99932107323899,8.751669471605117,0.0,-56.821153210750765,8.589856398595003,0.0,-0.17816786248822325,0.16181307301011394,0.0,0.2406808214640271,odom
1747219398.257466445,-57.02626126350063,8.725971356526998,0.0,-56.821153210750765,8.589856398595003,0.0,-0.2051080527498641,0.13611495793199424,0.0,0.24616375662487278,odom
1747219398.257466445,-57.02626126350063,8.725971356526998,0.0,-56.88267391778228,8.530390858759317,0.0,-0.14358734571835186,0.19558049776768094,0.0,0.24262946432264848,gt
1747219398.357466587,-57.04625479402926,8.706629548229023,0.0,-56.88267391778228,8.530390858759317,0.0,-0.16358087624698214,0.1762386894697059,0.0,0.2404553570618253,odom
1747219398.490829507,-57.06303013539784,8.696625641081383,0.0,-56.88267391778228,8.530390858759317,0.0,-0.18035621761556087,0.166234782322066,0.0,0.24528018282416583,odom
1747219398.590835077,-57.081862083577214,8.678749877963762,0.0,-56.88267391778228,8.530390858759317,0.0,-0.19918816579493637,0.14835901920444527,0.0,0.2483673166341659,odom
